362 451  0  0  101  0
451 280  0  0  2  0
280 279  0  0  48  0
279 362  0  0  100  0
452 561  0  1  103  0
561 339  0  1  70  0
339 451  0  1  2  0
451 452  0  1  101  0
339 284  0  2  43  0
284 280  0  2  53  0
587 683  0  3  135  0
683 501  0  3  102  0
501 562  0  3  2179  0
562 587  0  3  28  0
2037 1843  0  4  2087  0
1843 1908  0  4  175  0
1908 1939  0  4  455  0
1939 2037  0  4  148  0
2285 2283  0  5  8  0
2283 2240  0  5  15  0
2240 2273  0  5  1833  0
2273 2285  0  5  81  0
1475 1571  0  6  9  0
1571 1725  0  6  201  0
1725 1474  0  6  1830  0
1474 1475  0  6  218  0
1163 1271  0  7  2022  0
1271 1244  0  7  17  0
1244 1041  0  7  1834  0
1041 1163  0  7  41  0
2285 2277  0  8  31  0
2277 2286  0  8  1425  0
2286 2283  0  8  1850  0
1475 1523  0  9  231  0
1523 1456  0  9  11  0
1456 1571  0  9  1769  0
1632 1675  0  10  1970  0
1675 1764  0  10  2062  0
1764 1572  0  10  141  0
1572 1632  0  10  157  0
1368 1247  0  11  12  0
1247 1456  0  11  329  0
1523 1368  0  11  1865  0
1270 1145  0  12  195  0
1145 1247  0  12  277  0
1368 1270  0  12  119  0
833 947  0  13  109  0
947 1033  0  13  726  0
1033 1142  0  13  2090  0
1142 833  0  13  1679  0
490 603  0  14  1014  0
603 705  0  14  766  0
705 721  0  14  832  0
721 490  0  14  2064  0
2283 2284  0  15  1850  0
2284 2272  0  15  127  0
2272 2240  0  15  19  0
1038 1221  0  16  2070  0
1221 1143  0  16  140  0
1143 1058  0  16  475  0
1058 1038  0  16  97  0
1271 1534  0  17  2154  0
1534 1353  0  17  1718  0
1353 1244  0  17  2030  0
2248 2184  0  18  44  0
2184 2165  0  18  80  0
2165 2250  0  18  1808  0
2250 2248  0  18  93  0
2272 2268  0  19  2085  0
2268 2183  0  19  68  0
2183 2240  0  19  1833  0
2112 2020  0  20  688  0
2020 2041  0  20  622  0
2041 2023  0  20  247  0
2023 2112  0  20  467  0
2157 2158  0  21  1770  0
2158 2076  0  21  1982  0
2076 1931  0  21  1706  0
1931 2157  0  21  401  0
2034 2109  0  22  1819  0
2109 2166  0  22  1820  0
2166 2112  0  22  688  0
2112 2034  0  22  720  0
2169 2241  0  23  2085  0
2241 2171  0  23  215  0
2171 2089  0  23  38  0
2089 2169  0  23  71  0
1941 2038  0  24  2015  0
2038 1900  0  24  1705  0
1900 1763  0  24  1694  0
1763 1941  0  24  87  0
823 694  0  25  2052  0
694 600  0  25  1978  0
600 795  0  25  2168  0
795 823  0  25  2053  0
1623 1720  0  26  1673  0
1720 1760  0  26  1929  0
1760 1905  0  26  197  0
1905 1623  0  26  1896  0
1355 1458  0  27  91  0
1458 1555  0  27  1828  0
1555 1530  0  27  151  0
1530 1355  0  27  99  0
562 502  0  28  35  0
502 788  0  28  73  0
788 587  0  28  134  0
1332 1253  0  29  2163  0
1253 1028  0  29  2022  0
1028 1157  0  29  94  0
1157 1332  0  29  2180  0
815 1032  0  30  86  0
1032 1252  0  30  2117  0
1252 1161  0  30  167  0
1161 815  0  30  137  0
2275 2261  0  31  1424  0
2261 2277  0  31  1423  0
2285 2275  0  31  81  0
2170 2111  0  32  2175  0
2111 2006  0  32  64  0
2006 2239  0  32  1844  0
2239 2170  0  32  2164  0
247 371  0  33  63  0
371 461  0  33  95  0
461 563  0  33  104  0
563 247  0  33  85  0
2021 2114  0  34  74  0
2114 2234  0  34  187  0
2234 2093  0  34  147  0
2093 2021  0  34  77  0
562 366  0  35  2179  0
366 282  0  35  57  0
282 502  0  35  113  0
559 365  0  36  2178  0
365 281  0  36  56  0
281 682  0  36  1812  0
682 559  0  36  2165  0
503 675  0  37  452  0
675 792  0  37  2061  0
792 500  0  37  156  0
500 503  0  37  42  0
1947 2089  0  38  71  0
2171 2039  0  38  1808  0
2039 1947  0  38  69  0
606 724  0  39  2000  0
724 834  0  39  2080  0
834 604  0  39  98  0
604 606  0  39  145  0
1005 835  0  40  2133  0
835 1008  0  40  2066  0
1008 1120  0  40  184  0
1120 1005  0  40  2079  0
1011 1163  0  41  2121  0
1041 813  0  41  1864  0
813 1011  0  41  1842  0
500 363  0  42  318  0
363 372  0  42  75  0
372 503  0  42  2057  0
370 284  0  43  61  0
339 499  0  43  70  0
499 370  0  43  2176  0
2095 2184  0  44  2044  0
2248 2168  0  44  82  0
2168 2095  0  44  1786  0
2111 2088  0  45  2175  0
2088 2043  0  45  66  0
2043 1944  0  45  1780  0
1944 2111  0  45  64  0
2234 2007  0  46  187  0
2007 2125  0  46  387  0
2125 2185  0  46  178  0
2185 2234  0  46  147  0
367 12  0  47  52  0
12 13  1  47  -1  0
13 233  0  47  50  0
233 367  0  47  2173  0
280 20  0  48  53  0
20 21  1  48  -1  0
21 279  0  48  54  0
365 241  0  49  2178  0
241 9  0  49  51  0
9 10  1  49  -1  0
10 365  0  49  56  0
368 233  0  50  2177  0
13 14  1  50  -1  0
14 368  0  50  60  0
371 8  0  51  63  0
8 9  1  51  -1  0
241 371  0  51  95  0
281 11  0  52  56  0
11 12  1  52  -1  0
367 281  0  52  1812  0
284 19  0  53  61  0
19 20  1  53  -1  0
21 22  1  54  -1  0
22 220  0  54  55  0
220 279  0  54  100  0
366 220  0  55  2179  0
22 23  1  55  -1  0
23 366  0  55  57  0
10 11  1  56  -1  0
23 24  1  57  -1  0
24 282  0  57  1377  0
370 223  0  58  2176  0
223 17  0  58  62  0
17 18  1  58  -1  0
18 370  0  58  61  0
283 15  0  59  60  0
15 16  1  59  -1  0
16 369  0  59  62  0
369 283  0  59  1815  0
283 368  0  60  1813  0
14 15  1  60  -1  0
18 19  1  61  -1  0
16 17  1  62  -1  0
223 369  0  62  2172  0
247 7  0  63  313  0
7 8  1  63  -1  0
1944 1912  0  64  540  0
1912 2006  0  64  76  0
1932 2034  0  65  1819  0
2034 1867  0  65  720  0
1867 1842  0  65  667  0
1842 1932  0  65  67  0
2088 2183  0  66  1833  0
2183 1998  0  66  68  0
1998 2043  0  66  259  0
1842 1977  0  67  663  0
1977 2040  0  67  69  0
2040 1932  0  67  1821  0
2268 2120  0  68  72  0
2120 1998  0  68  545  0
1977 1947  0  69  525  0
2039 2040  0  69  2174  0
561 620  0  70  78  0
620 499  0  70  1942  0
1947 2025  0  71  543  0
2025 2169  0  71  72  0
2268 2169  0  72  2085  0
2025 2120  0  72  607  0
502 340  0  73  113  0
340 602  0  73  2064  0
602 788  0  73  109  0
2021 1938  0  74  1799  0
1938 2037  0  74  2087  0
2037 2114  0  74  148  0
363 246  0  75  193  0
246 447  0  75  301  0
447 372  0  75  2089  0
1912 2033  0  76  514  0
2033 2110  0  76  2152  0
2110 2006  0  76  224  0
1993 2021  0  77  1799  0
2093 1918  0  77  128  0
1918 1993  0  77  153  0
561 566  0  78  103  0
566 695  0  78  1761  0
695 620  0  78  96  0
1942 2019  0  79  111  0
2019 1917  0  79  1911  0
1917 1831  0  79  108  0
1831 1942  0  79  669  0
2184 2238  0  80  2044  0
2238 2094  0  80  2170  0
2094 2165  0  80  2174  0
2170 2275  0  81  2164  0
2273 2170  0  81  2175  0
2248 2274  0  82  93  0
2274 2244  0  82  133  0
2244 2168  0  82  1810  0
2185 2186  0  83  178  0
2186 2022  0  83  174  0
2022 2113  0  83  532  0
2113 2185  0  83  147  0
1269 1354  0  84  168  0
1354 1245  0  84  105  0
1245 1160  0  84  1983  0
1160 1269  0  84  120  0
789 607  0  85  110  0
607 247  0  85  2078  0
563 789  0  85  104  0
815 993  0  86  1861  0
993 1228  0  86  117  0
1228 1032  0  86  163  0
1746 1941  0  87  88  0
1763 1855  0  87  1692  0
1855 1746  0  87  1519  0
1746 1899  0  88  1669  0
1899 2079  0  88  1720  0
2079 1941  0  88  2015  0
1157 994  0  89  94  0
994 810  0  89  1862  0
810 1040  0  89  90  0
1040 1157  0  89  2180  0
810 1002  0  90  1924  0
1002 1160  0  90  120  0
1160 1040  0  90  1983  0
1355 1249  0  91  2073  0
1249 1352  0  91  1806  0
1352 1458  0  91  1827  0
338 276  0  92  253  0
276 450  0  92  2063  0
450 286  0  92  304  0
286 338  0  92  2047  0
2171 2274  0  93  215  0
2250 2171  0  93  1808  0
1028 896  0  94  2121  0
896 994  0  94  276  0
241 680  0  95  2178  0
680 461  0  95  2042  0
695 838  0  96  2094  0
838 700  0  96  1642  0
700 620  0  96  1942  0
1058 816  0  97  279  0
816 949  0  97  334  0
949 1038  0  97  2125  0
834 824  0  98  2050  0
824 725  0  98  340  0
725 604  0  98  136  0
1325 1355  0  99  2073  0
1530 1372  0  99  1939  0
1372 1325  0  99  1648  0
220 501  0  100  2179  0
501 362  0  100  102  0
362 608  0  101  102  0
608 452  0  101  1728  0
683 608  0  102  1730  0
452 727  0  103  1728  0
727 566  0  103  1731  0
461 586  0  104  2042  0
586 789  0  104  1734  0
1354 1625  0  105  2029  0
1625 1470  0  105  1893  0
1470 1245  0  105  1708  0
719 901  0  106  110  0
901 1010  0  106  1853  0
1010 902  0  106  2126  0
902 719  0  106  593  0
1457 1535  0  107  123  0
1535 1324  0  107  2034  0
1324 1431  0  107  2150  0
1431 1457  0  107  2100  0
1765 1831  0  108  802  0
1917 1904  0  108  130  0
1904 1765  0  108  2149  0
833 788  0  109  149  0
602 947  0  109  2051  0
789 901  0  110  1734  0
719 607  0  110  585  0
2166 2160  0  111  1820  0
2160 2019  0  111  2045  0
1942 2166  0  111  688  0
1529 1629  0  112  2093  0
1629 1323  0  112  2099  0
1323 1428  0  112  1755  0
1428 1529  0  112  2034  0
268 340  0  113  2161  0
282 268  0  113  1377  0
1724 1630  0  114  2108  0
1630 1551  0  114  123  0
1551 1655  0  114  2149  0
1655 1724  0  114  2059  0
1339 1266  0  115  2100  0
1266 1328  0  115  2124  0
1328 1427  0  115  1825  0
1427 1339  0  115  1852  0
1267 1329  0  116  2106  0
1329 1351  0  116  2120  0
1351 1480  0  116  1672  0
1480 1267  0  116  1782  0
891 1123  0  117  2126  0
1123 1228  0  117  162  0
993 891  0  117  1966  0
1937 2036  0  118  182  0
2036 2161  0  118  2139  0
2161 2083  0  118  2152  0
2083 1937  0  118  2037  0
1144 1229  0  119  2010  0
1229 1270  0  119  2113  0
1368 1144  0  119  1865  0
1114 1269  0  120  177  0
1002 1114  0  120  1840  0
1244 1476  0  121  2030  0
1476 1569  0  121  2041  0
1569 1424  0  121  208  0
1424 1244  0  121  1834  0
1016 1064  0  122  2103  0
1064 1121  0  122  2129  0
1121 819  0  122  2055  0
819 1016  0  122  2054  0
1630 1535  0  123  1748  0
1457 1551  0  123  1940  0
622 508  0  124  347  0
508 609  0  124  190  0
609 728  0  124  256  0
728 622  0  124  321  0
1367 1461  0  125  1803  0
1461 1567  0  125  226  0
1567 1533  0  125  1943  0
1533 1367  0  125  2060  0
1015 944  0  126  2031  0
944 1018  0  126  2084  0
1018 1223  0  126  2049  0
1223 1015  0  126  2032  0
2284 2287  0  127  2156  0
2287 2241  0  127  215  0
2241 2272  0  127  2085  0
2113 2046  0  128  596  0
2046 1918  0  128  1797  0
2093 2113  0  128  147  0
1117 1056  0  129  1927  0
1056 1218  0  129  2082  0
1218 1219  0  129  1783  0
1219 1117  0  129  1697  0
1917 2078  0  130  1911  0
2078 1992  0  130  2024  0
1992 1904  0  130  1750  0
1434 1472  0  131  1985  0
1472 1373  0  131  152  0
1373 1272  0  131  1787  0
1272 1434  0  131  1950  0
474 374  0  132  2067  0
374 249  0  132  280  0
249 605  0  132  236  0
605 474  0  132  2011  0
2274 2287  0  133  215  0
2287 2279  0  133  2156  0
2279 2244  0  133  1824  0
788 841  0  134  149  0
841 699  0  134  1636  0
699 587  0  134  135  0
699 905  0  135  1690  0
905 683  0  135  1730  0
725 359  0  136  267  0
359 505  0  136  239  0
505 604  0  136  145  0
1161 1333  0  137  167  0
1333 1001  0  137  177  0
1001 815  0  137  1809  0
923 1017  0  138  1807  0
1017 1222  0  138  1816  0
1222 1065  0  138  1847  0
1065 923  0  138  2122  0
1037 1219  0  139  1697  0
1219 1277  0  139  1783  0
1277 1156  0  139  165  0
1156 1037  0  139  162  0
1221 1158  0  140  196  0
1158 1268  0  140  2019  0
1268 1143  0  140  186  0
1764 1745  0  141  160  0
1745 1677  0  141  1795  0
1677 1572  0  141  179  0
1854 1768  0  142  200  0
1768 1747  0  142  199  0
1747 1827  0  142  1801  0
1827 1854  0  142  211  0
1656 1444  0  143  392  0
1444 1577  0  143  435  0
1577 1677  0  143  179  0
1677 1656  0  143  1795  0
187 188  1  144  -1  0
188 448  0  144  245  0
448 278  0  144  533  0
278 187  0  144  164  0
505 373  0  145  202  0
373 606  0  145  2058  0
1366 1371  0  146  158  0
1371 1284  0  146  317  0
1284 1168  0  146  725  0
1168 1366  0  146  186  0
1939 2042  0  148  211  0
2042 2114  0  148  187  0
833 945  0  149  1679  0
945 841  0  149  1636  0
557 373  0  150  2058  0
373 244  0  150  202  0
244 377  0  150  325  0
377 557  0  150  533  0
1555 1573  0  151  1839  0
1573 1531  0  151  2096  0
1531 1530  0  151  1939  0
1472 1570  0  152  225  0
1570 1350  0  152  161  0
1350 1373  0  152  407  0
1918 1861  0  153  1797  0
1861 1745  0  153  1795  0
1745 1993  0  153  160  0
814 707  0  154  499  0
707 730  0  154  249  0
730 848  0  154  268  0
848 814  0  154  294  0
1815 1850  0  155  1965  0
1850 1767  0  155  223  0
1767 1673  0  155  172  0
1673 1815  0  155  1789  0
792 704  0  156  257  0
704 614  0  156  456  0
614 500  0  156  318  0
1572 1477  0  157  179  0
1477 1473  0  157  158  0
1473 1632  0  157  1906  0
1366 1473  0  158  379  0
1477 1371  0  158  1785  0
277 449  0  159  2067  0
449 285  0  159  307  0
285 337  0  159  2046  0
337 277  0  159  252  0
1764 1853  0  160  2062  0
1853 1993  0  160  1799  0
1570 1553  0  161  172  0
1553 1478  0  161  1788  0
1478 1350  0  161  1768  0
1156 1228  0  162  163  0
1123 1037  0  162  1678  0
1156 1331  0  163  165  0
1331 1032  0  163  2117  0
3 187  1  164  -1  0
278 186  0  164  291  0
186 3  1  164  -1  0
1277 1367  0  165  1803  0
1367 1331  0  165  2060  0
1766 1681  0  166  355  0
1681 1553  0  166  1788  0
1553 1767  0  166  172  0
1767 1766  0  166  223  0
1252 1369  0  167  356  0
1369 1333  0  167  168  0
1269 1333  0  168  177  0
1369 1354  0  168  2029  0
1995 1902  0  169  1968  0
1902 1852  0  169  170  0
1852 2076  0  169  1706  0
2076 1995  0  169  1982  0
1902 1718  0  170  2035  0
1718 1809  0  170  1656  0
1809 1852  0  170  1956  0
2096 2188  0  171  254  0
2188 2189  0  171  598  0
2189 2194  0  171  345  0
2194 2096  0  171  595  0
1570 1673  0  172  225  0
1330 1136  0  173  189  0
1136 1365  0  173  1884  0
1365 1435  0  173  1906  0
1435 1330  0  173  2019  0
2186 2187  0  174  422  0
2187 2119  0  174  254  0
2119 2022  0  174  1781  0
1817 1908  0  175  1818  0
1843 1653  0  175  1856  0
1653 1817  0  175  1860  0
1994 1936  0  176  1700  0
1936 1744  0  176  1987  0
1744 1905  0  176  1896  0
1905 1994  0  176  197  0
1114 1001  0  177  344  0
2125 2008  0  178  530  0
2008 2186  0  178  422  0
1577 1477  0  179  1785  0
1811 1991  0  180  1856  0
1991 1909  0  180  2162  0
1909 1672  0  180  1990  0
1672 1811  0  180  1903  0
911 799  0  181  470  0
799 842  0  181  332  0
842 1063  0  181  575  0
1063 911  0  181  403  0
2082 2036  0  182  2139  0
1937 1997  0  182  2145  0
1997 2082  0  182  1686  0
82 1  1  183  -1  0
1 107  1  183  -1  0
107 336  0  183  2036  0
336 82  0  183  491  0
1008 940  0  184  432  0
940 1060  0  184  363  0
1060 1120  0  184  2132  0
794 832  0  185  1778  0
832 907  0  185  262  0
907 992  0  185  1702  0
992 794  0  185  1802  0
1268 1366  0  186  379  0
1168 1143  0  186  475  0
2042 2007  0  187  204  0
108 337  0  188  252  0
337 83  0  188  2046  0
83 2  1  188  -1  0
2 108  1  188  -1  0
1213 1034  0  189  1868  0
1034 1136  0  189  503  0
1330 1213  0  189  2077  0
508 383  0  190  300  0
383 238  0  190  384  0
238 609  0  190  275  0
616 513  0  191  251  0
513 375  0  191  232  0
375 614  0  191  318  0
614 616  0  191  456  0
1111 922  0  192  1960  0
922 1146  0  192  234  0
1146 1226  0  192  1950  0
1226 1111  0  192  2003  0
375 287  0  193  232  0
287 246  0  193  308  0
363 375  0  193  318  0
950 735  0  194  428  0
735 843  0  194  230  0
843 1066  0  194  357  0
1066 950  0  194  264  0
1270 1164  0  195  2113  0
1164 1061  0  195  413  0
1061 1145  0  195  448  0
1119 1113  0  196  217  0
1113 1158  0  196  2077  0
1221 1119  0  196  2070  0
1760 1849  0  197  2043  0
1849 1994  0  197  221  0
1031 1227  0  198  2106  0
1227 1014  0  198  2082  0
1014 943  0  198  219  0
943 1031  0  198  2138  0
1768 1574  0  199  610  0
1574 1678  0  199  210  0
1678 1747  0  199  527  0
1762 1684  0  200  201  0
1684 1768  0  200  610  0
1854 1762  0  200  455  0
1571 1684  0  201  1769  0
1762 1725  0  201  1818  0
505 289  0  202  239  0
289 244  0  202  324  0
2098 2047  0  203  614  0
2047 2228  0  203  443  0
2228 2190  0  203  641  0
2190 2098  0  203  375  0
2042 1827  0  204  211  0
1827 1946  0  204  1801  0
1946 2007  0  204  387  0
450 504  0  205  2063  0
504 598  0  205  585  0
598 555  0  205  1811  0
555 450  0  205  304  0
476 382  0  206  285  0
382 237  0  206  377  0
237 611  0  206  314  0
611 476  0  206  233  0
669 791  0  207  1811  0
791 679  0  207  2012  0
679 464  0  207  338  0
464 669  0  207  1961  0
1524 1424  0  208  1793  0
1569 1631  0  208  1789  0
1631 1524  0  208  1985  0
706 839  0  209  293  0
839 615  0  209  342  0
615 511  0  209  244  0
511 706  0  209  270  0
1383 1479  0  210  439  0
1479 1678  0  210  513  0
1574 1383  0  210  1776  0
1939 1854  0  211  455  0
1159 1135  0  212  1787  0
1135 918  0  212  524  0
918 1059  0  212  346  0
1059 1159  0  212  2136  0
449 474  0  213  2067  0
474 599  0  213  2011  0
599 556  0  213  1800  0
556 449  0  213  307  0
949 736  0  214  334  0
736 616  0  214  251  0
616 845  0  214  456  0
845 949  0  214  2125  0
475 380  0  216  314  0
380 292  0  216  368  0
292 507  0  216  228  0
507 475  0  216  395  0
997 820  0  217  1863  0
820 1113  0  217  353  0
1119 997  0  217  2081  0
1429 1475  0  218  231  0
1474 1254  0  218  1841  0
1254 1429  0  218  1854  0
900 694  0  219  1978  0
694 943  0  219  2052  0
1014 900  0  219  2141  0
732 799  0  220  332  0
799 844  0  220  470  0
844 731  0  220  466  0
731 732  0  220  381  0
1849 1910  0  221  1747  0
1910 2081  0  221  510  0
2081 1994  0  221  1700  0
1007 830  0  222  1998  0
830 1030  0  222  2009  0
1030 1215  0  222  1851  0
1215 1007  0  222  1881  0
1850 1943  0  223  2037  0
1943 1766  0  223  370  0
2110 2236  0  224  2116  0
2236 2181  0  224  1848  0
2181 2006  0  224  1844  0
1472 1631  0  225  1985  0
1631 1673  0  225  1789  0
1480 1722  0  226  1672  0
1722 1567  0  226  1693  0
1461 1480  0  226  1782  0
673 790  0  227  1800  0
790 716  0  227  2133  0
716 546  0  227  1907  0
546 673  0  227  1957  0
292 291  0  228  351  0
291 359  0  228  239  0
359 507  0  228  267  0
840 817  0  229  1741  0
817 737  0  229  399  0
737 619  0  229  358  0
619 840  0  229  333  0
735 618  0  230  406  0
618 617  0  230  274  0
617 843  0  230  461  0
1265 1523  0  231  1865  0
1429 1265  0  231  1758  0
513 288  0  232  284  0
288 287  0  232  327  0
611 707  0  233  249  0
707 734  0  233  499  0
734 476  0  233  461  0
1112 1326  0  234  1773  0
1326 1146  0  234  1878  0
922 1112  0  234  248  0
1067 847  0  235  409  0
847 797  0  235  431  0
797 1166  0  235  383  0
1166 1067  0  235  393  0
249 378  0  236  311  0
378 463  0  236  331  0
463 605  0  236  237  0
723 605  0  237  2011  0
463 698  0  237  342  0
698 723  0  237  2066  0
2108 2024  0  238  708  0
2024 2118  0  238  263  0
2118 2117  0  238  805  0
2117 2108  0  238  563  0
291 289  0  239  336  0
511 381  0  240  244  0
381 294  0  240  389  0
294 512  0  240  310  0
512 511  0  240  270  0
733 478  0  241  402  0
478 621  0  241  350  0
621 731  0  241  381  0
731 733  0  241  466  0
786 996  0  242  1883  0
996 898  0  242  1879  0
898 715  0  242  1981  0
715 786  0  242  281  0
837 728  0  243  321  0
728 583  0  243  256  0
583 816  0  243  334  0
816 837  0  243  279  0
615 242  0  244  331  0
242 381  0  244  365  0
188 189  1  245  -1  0
