201 200 1 0 -1 
200 1 0 0 50 
1 201 0 0 49 
200 199 1 1 -1 
199 2 0 1 53 
2 200 0 1 50 
198 197 1 2 -1 
197 4 0 2 52 
4 198 0 2 51 
197 196 1 3 -1 
196 5 0 3 59 
5 197 0 3 52 
199 198 1 4 -1 
198 3 0 4 51 
3 199 0 4 53 
195 194 1 5 -1 
194 7 0 5 55 
7 195 0 5 54 
194 193 1 6 -1 
193 8 0 6 58 
8 194 0 6 55 
192 191 1 7 -1 
191 10 0 7 57 
10 192 0 7 56 
191 190 1 8 -1 
190 11 0 8 72 
11 191 0 8 57 
193 192 1 9 -1 
192 9 0 9 56 
9 193 0 9 58 
196 195 1 10 -1 
195 6 0 10 54 
6 196 0 10 59 
189 188 1 11 -1 
188 13 0 11 61 
13 189 0 11 60 
188 187 1 12 -1 
187 14 0 12 64 
14 188 0 12 61 
186 185 1 13 -1 
185 16 0 13 63 
16 186 0 13 62 
185 184 1 14 -1 
184 17 0 14 71 
17 185 0 14 63 
187 186 1 15 -1 
186 15 0 15 62 
15 187 0 15 64 
183 182 1 16 -1 
182 19 0 16 66 
19 183 0 16 65 
182 181 1 17 -1 
181 20 0 17 70 
20 182 0 17 66 
180 179 1 18 -1 
179 22 0 18 69 
22 180 0 18 67 
178 177 1 19 -1 
177 24 0 19 98 
24 178 0 19 68 
179 178 1 20 -1 
178 23 0 20 68 
23 179 0 20 69 
181 180 1 21 -1 
180 21 0 21 67 
21 181 0 21 70 
184 183 1 22 -1 
183 18 0 22 65 
18 184 0 22 71 
190 189 1 23 -1 
189 12 0 23 60 
12 190 0 23 72 
176 175 1 24 -1 
175 26 0 24 74 
26 176 0 24 73 
175 174 1 25 -1 
174 27 0 25 77 
27 175 0 25 74 
173 172 1 26 -1 
172 29 0 26 76 
29 173 0 26 75 
172 171 1 27 -1 
171 30 0 27 84 
30 172 0 27 76 
174 173 1 28 -1 
173 28 0 28 75 
28 174 0 28 77 
170 169 1 29 -1 
169 32 0 29 79 
32 170 0 29 78 
169 168 1 30 -1 
168 33 0 30 83 
33 169 0 30 79 
167 166 1 31 -1 
166 35 0 31 82 
35 167 0 31 80 
166 165 1 32 -1 
165 36 0 32 81 
36 166 0 32 82 
168 167 1 33 -1 
167 34 0 33 80 
34 168 0 33 83 
171 170 1 34 -1 
170 31 0 34 78 
31 171 0 34 84 
164 163 1 35 -1 
163 38 0 35 85 
38 164 0 35 97 
163 162 1 36 -1 
162 39 0 36 86 
39 163 0 36 85 
161 160 1 37 -1 
160 41 0 37 87 
41 161 0 37 89 
160 159 1 38 -1 
159 42 0 38 88 
42 160 0 38 87 
162 161 1 39 -1 
161 40 0 39 89 
40 162 0 39 86 
158 157 1 40 -1 
157 44 0 40 90 
44 158 0 40 96 
157 156 1 41 -1 
156 45 0 41 91 
45 157 0 41 90 
155 154 1 42 -1 
154 47 0 42 92 
47 155 0 42 95 
153 152 1 43 -1 
152 49 0 43 93 
49 153 0 43 94 
154 153 1 44 -1 
153 48 0 44 94 
48 154 0 44 92 
156 155 1 45 -1 
155 46 0 45 95 
46 156 0 45 91 
159 158 1 46 -1 
158 43 0 46 96 
43 159 0 46 88 
165 164 1 47 -1 
164 37 0 47 97 
37 165 0 47 81 
177 176 1 48 -1 
176 25 0 48 73 
25 177 0 48 98 
1 0 1 49 -1 
0 201 2 49 -1 
2 1 1 50 -1 
4 3 1 51 -1 
5 4 1 52 -1 
3 2 1 53 -1 
7 6 1 54 -1 
8 7 1 55 -1 
10 9 1 56 -1 
11 10 1 57 -1 
9 8 1 58 -1 
6 5 1 59 -1 
13 12 1 60 -1 
14 13 1 61 -1 
16 15 1 62 -1 
17 16 1 63 -1 
15 14 1 64 -1 
19 18 1 65 -1 
20 19 1 66 -1 
22 21 1 67 -1 
24 23 1 68 -1 
23 22 1 69 -1 
21 20 1 70 -1 
18 17 1 71 -1 
12 11 1 72 -1 
26 25 1 73 -1 
27 26 1 74 -1 
29 28 1 75 -1 
30 29 1 76 -1 
28 27 1 77 -1 
32 31 1 78 -1 
33 32 1 79 -1 
35 34 1 80 -1 
37 36 1 81 -1 
36 35 1 82 -1 
34 33 1 83 -1 
31 30 1 84 -1 
39 38 1 85 -1 
40 39 1 86 -1 
42 41 1 87 -1 
43 42 1 88 -1 
41 40 1 89 -1 
45 44 1 90 -1 
46 45 1 91 -1 
48 47 1 92 -1 
50 49 1 93 -1 
152 50 0 93 99 
49 48 1 94 -1 
47 46 1 95 -1 
44 43 1 96 -1 
38 37 1 97 -1 
25 24 1 98 -1 
