4 770  0  0  1  0
770 364  0  0  10  0
364 583  0  0  13  0
583 4  0  0  3  0
4 831  0  1  2  0
831 1188  0  1  5  0
1188 770  0  1  8  0
4 555  0  2  3  0
555 523  0  2  17  0
523 831  0  2  4  0
583 640  0  3  15  0
640 555  0  3  18  0
523 1085  0  4  147  0
1085 722  0  4  165  0
722 831  0  4  5  0
722 176  0  5  6  0
176 1188  0  5  7  0
722 631  0  6  165  0
631 1249  0  6  169  0
1249 176  0  6  172  0
176 887  0  7  172  0
887 1094  2  7  -1  0
1094 1188  0  7  8  0
1094 1131  2  8  -1  0
1131 770  0  8  10  0
463 197  0  9  13  0
197 723  0  9  67  0
723 1103  0  9  53  0
1103 463  0  9  11  0
1131 1215  2  10  -1  0
1215 364  0  10  12  0
16 463  0  11  15  0
1103 707  0  11  28  0
707 16  0  11  22  0
1215 104  2  12  -1  0
104 197  0  12  67  0
197 364  0  12  13  0
463 583  0  13  15  0
1219 640  0  14  18  0
640 16  0  14  15  0
16 551  0  14  22  0
551 1219  0  14  21  0
545 712  0  16  73  0
712 999  0  16  72  0
999 54  0  16  75  0
54 545  0  16  21  0
555 767  0  17  18  0
767 1194  0  17  109  0
1194 523  0  17  147  0
1219 767  0  18  20  0
346 332  0  19  84  0
332 605  0  19  23  0
605 444  0  19  26  0
444 346  0  19  78  0
1219 54  0  20  21  0
54 388  0  20  75  0
388 767  0  20  109  0
551 545  0  21  23  0
707 605  0  22  26  0
605 551  0  22  23  0
332 545  0  23  73  0
1080 1224  0  24  146  0
1224 1180  0  24  865  0
1180 1174  0  24  862  0
1174 1080  0  24  93  0
1092 337  0  25  27  0
337 308  0  25  653  0
308 1080  0  25  146  0
1080 1092  0  25  93  0
707 344  0  26  28  0
344 444  0  26  71  0
1092 211  0  27  106  0
211 1099  0  27  834  0
1099 337  0  27  831  0
1103 1164  0  28  53  0
1164 344  0  28  30  0
155 414  0  29  69  0
414 1224  0  29  865  0
1224 650  0  29  146  0
650 155  0  29  734  0
1164 543  0  30  31  0
543 483  0  30  36  0
483 344  0  30  71  0
1164 761  0  31  53  0
761 1115  0  31  56  0
1115 543  0  31  33  0
454 738  0  32  822  0
738 155  0  32  69  0
155 67  0  32  734  0
67 454  0  32  35  0
1115 648  0  33  34  0
648 815  1  33  -1  0
815 543  0  33  36  0
1115 12  0  34  56  0
12 145  2  34  -1  0
145 648  1  34  -1  0
